Date,Open,High,Low,Close,Volume
07/06/2000,60.6875,64.5,59.25,61.5,191100
07/07/2000,61.5625,69.5,61,66.0625,618000
07/11/2000,66.0625,67,63.5,64.0625,133000
07/12/2000,64.25,70,64.25,68.75,262200
07/13/2000,69.125,71.625,66.5,67.3125,279600
07/14/2000,68.5,71,68.375,70,264300
07/18/2000,69.65625,69.9375,64.125,65.3125,253100
07/19/2000,65.5625,67.625,61.875,63.25,118500
07/20/2000,63.25,65.375,62.625,63,104100
07/21/2000,62.125,62.125,58.6875,58.75,234000
07/25/2000,57.3125,58,56,57.9375,110300
07/26/2000,57.8125,58.75,54.5,56,143900
07/27/2000,54.15625,58.9375,53,58.5,202400
07/28/2000,57.25,58,53,53.3125,129000
08/01/2000,50.25,53,50.25,51.890625,152400
08/02/2000,49.5,50.375,38.25,39.5,1404600
08/03/2000,37.875,39.625,36,36.015625,780300
08/04/2000,37.65625,40.796875,36.6875,39.125,459300
08/08/2000,43.5625,45.125,41,41.125,449800
08/09/2000,41.9375,43.125,39.125,40,265200
08/10/2000,40.375,44.5,40,41.625,344500
08/11/2000,42.6875,43.0625,41.25,41.625,107600
08/15/2000,42.96875,43,41.5,41.5,94600
08/16/2000,42,44,41.5625,44,95100
08/17/2000,43.96875,45,42.8125,44.375,115400
08/18/2000,44.21875,45.375,43,45.125,166800
08/22/2000,45.03125,46.375,44.0625,46.25,97700
08/23/2000,45.1875,45.75,42.625,43.125,195600
08/24/2000,39.75,41.375,39.625,41.1875,547000
08/25/2000,41.625,48.8125,41.5,48.75,802300
08/29/2000,45.4375,47.375,45.1875,46.125,221400
08/30/2000,46.25,46.375,43.625,44.5,234700
08/31/2000,44.6875,45.3125,44,44.75,96900
09/01/2000,44.4375,46.1875,42.6875,42.9375,258800
09/06/2000,43.09375,45.125,42.1875,43.09375,458800
09/07/2000,43.9375,45.875,42.875,44.25,364200
09/08/2000,44.71875,45.375,42,43.3125,174400
09/12/2000,43.625,59.875,42.8125,52.5,5571300
09/13/2000,54.25,61.875,52.75,55,4992200
09/14/2000,57,57.5,50.0625,50.9375,1861400
09/15/2000,48.75,54.375,48.25,49.25,2128200
09/19/2000,47.0625,47.875,44.5,45.625,741600
09/20/2000,45.6875,49.75,45.625,47.6875,1147200
09/21/2000,47.5625,49.5,46.6875,47.375,521000
09/22/2000,45.25,47.25,43,44,526600
09/26/2000,45,47.25,43.5,44.375,470400
09/27/2000,44.375,45.3125,40,40.25,567000
09/28/2000,39.875,40.0625,36.75,38.4375,473900
